Warmmiete und Mietbelastung
Deutschland, 2014

Altersgruppe;Warmmiete und Mietbelastung
 ;Durchschnittlicher Mietbetrag
einschl. Nebenkosten (in Euro);Monatsmiete anteilig am
Haushaltsnettoeinkommen (in %)
40 - 54 Jahre;751,89;33,1
55 - 69 Jahre;667,97;36,1
70 - 85 Jahre;656,71;37,8

© GeroStat - Deutsches Zentrum für Altersfragen, Berlin. DOI 10.5156/GEROSTAT
Deutscher Alterssurvey (DEAS) - 1996, 2002, 2008, 2014
Gewichtete Ergebnisse. Alle Rechte vorbehalten.
